,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
96,96,1,Timesweep,35.501,55.138,0.6438572309478037,272.0,12.27
97,97,1,Timesweep,35.747,55.434,0.6448569470000362,289.0,12.41
98,98,1,Timesweep,34.701,55.006,0.6308584518052576,306.0,12.55
99,99,1,Timesweep,34.687,55.194,0.628455991593289,323.0,12.69
100,100,1,Timesweep,34.46,55.226,0.6239814580089089,340.0,12.83
101,101,1,Timesweep,33.899,54.966,0.6167267037805189,357.0,12.98
102,102,1,Timesweep,33.627,54.761,0.6140684063475832,374.0,13.12
103,103,1,Timesweep,34.007,55.277,0.6152106662807315,391.0,13.26
104,104,1,Timesweep,33.06,54.996,0.6011346279729435,408.0,13.4
105,105,1,Timesweep,32.895,55.102,0.5969837755435375,425.0,13.54
106,106,1,Timesweep,32.864,54.842,0.5992487509572955,442.0,13.68
107,107,1,Timesweep,32.865,54.907,0.5985575609667256,459.0,13.82
108,108,1,Timesweep,32.432,55.315,0.586314742836482,476.0,13.97
109,109,1,Timesweep,31.721,54.966,0.5771022086380672,493.0,14.11
110,110,1,Timesweep,31.839,54.89,0.5800510111131353,510.0,14.25
111,111,1,Timesweep,31.52,55.088,0.5721754284054603,527.0,14.39
112,112,1,Timesweep,30.914,54.745,0.564690839346059,544.0,14.53
113,113,1,Timesweep,30.511,54.319,0.5617003258528322,561.0,14.68
114,114,1,Timesweep,30.884,54.887,0.5626833312077542,578.0,14.82
115,115,1,Timesweep,30.939,55.011,0.5624147897693188,595.0,14.96
116,116,1,Timesweep,30.973,54.986,0.5632888371585495,612.0,15.1
117,117,1,Timesweep,30.945,54.962,0.5630253629780575,629.0,15.24
118,118,1,Timesweep,31.314,55.277,0.566492392857789,646.0,15.38
119,119,1,Timesweep,30.465,55.191,0.551992172636843,663.0,15.52
120,120,1,Timesweep,31.051,55.233,0.5621820288595586,680.0,15.67
121,121,1,Timesweep,30.926,54.962,0.5626796695898985,697.0,15.81
122,122,1,Timesweep,30.994,55.482,0.5586316282758372,714.0,15.95
123,123,1,Timesweep,30.728,55.024,0.5584472230299505,731.0,16.09
124,124,1,Timesweep,30.692,55.217,0.5558433091258127,748.0,16.23
125,125,1,Timesweep,30.413,55.268,0.5502822609828472,765.0,16.38
126,126,1,Timesweep,31.284,55.26,0.5661237785016286,782.0,16.52
127,127,1,Timesweep,31.06,55.375,0.560902934537246,799.0,16.66
128,128,1,Timesweep,30.669,55.118,0.5564243985630828,816.0,16.8
129,129,1,Timesweep,29.854,55.479,0.5381135204311541,833.0,16.94
130,130,1,Timesweep,30.959,55.331,0.5595235943684372,850.0,17.08
131,131,1,Timesweep,30.327,55.166,0.5497407823659501,867.0,17.23
132,132,1,Timesweep,30.713,55.409,0.5542962334638777,884.0,17.37
133,133,1,Timesweep,30.321,55.45,0.5468169522091975,901.0,17.51
134,134,1,Timesweep,30.783,55.446,0.5551888323774483,918.0,17.65
135,135,1,Timesweep,30.447,55.195,0.5516260530845185,935.0,17.79
136,136,1,Timesweep,30.341,55.43,0.5473750676528956,952.0,17.93
137,137,1,Timesweep,30.574,55.323,0.5526453735336118,969.0,18.08
